gene name	list of shared diseases
FAT4	"Jaundice;Hyperhidrosis;Genu Varum;Sweat Gland Diseases;Gastrointestinal Diseases;Vitamin B Deficiency;""Diabetes Mellitus, Type 1"";Optic Neuritis;Ovarian Diseases;Hallucinations;Angina Pectoris;"
DUSP23	"Digestive System Neoplasms;Keratoconjunctivitis Sicca;Urethral Stricture;""Pneumonia, Pneumococcal"";Knee Dislocation;"
FAM5C	"Thrombocytopenia;""Child Development Disorders, Pervasive"";Hepatomegaly;""Menopause, Premature"";Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;"
CAPZA1	"Chronic Disease;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Diabetes Mellitus, Type 5"";""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";""Gait Disorders, Neurologic"";Anxiety Disorders;"
EGFR	"Hidradenitis;""Diabetes Mellitus, Type 3"";"
PON1	"Mild Cognitive Impairment;Pancreatitis;Glomerulonephritis;Hallux Valgus;""Alveolitis, Extrinsic Allergic"";"
ANKS1A	"Atrial flutter;Cystic Kidney Disease;Esophageal Motility Disorders;Barrett Esophagus;Macular Degeneration;""Reflex, Abnormal"";Atherosclerosis;"
TAGAP	"Psoriasis;Idiopathic orthostatic hypotension;Uveitis;Subarachnoid Hemorrhage;Delirium;Vitamin B 12 Deficiency;""Genital Diseases, Male"";Chronic Disease;"
CLEC2D	"Heartburn;""Genital Neoplasms, Female"";""Pneumonia, Pneumococcal"";Liver Abscess;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";"
ASAP2	"Carbuncle;""Prader-Willi habitus, osteopenia, and camptodactyly"";Myopia;""Genital Neoplasms, Female"";"
TNFRSF21	"Bronchopneumonia;Proteinuria;""Tooth Eruption, Ectopic"";Brain Neoplasms;""Sleep Apnea, Central"";"
OR10J3	"Prostate cancer, familial;Bronchopneumonia;Osteoporosis;""Menopause, Premature"";Atrophic Vaginitis;Otosclerosis;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Hematuria;Sleep Apnea Syndromes;"
RBMS1	"Giant Cell Arteritis;Retinal Detachment;""Diabetes Mellitus, Type 6"";Polyarteritis Nodosa;Schizophrenia;Chronic Disease;Scleritis;Diverticulosis;Neutropenia;Incisional Hernia;Gangrene;"
ACTA2	Bone Neoplasms;Intracranial Hemorrhages;Graves Disease;
RBMS3	"Respiratory Tract Neoplasms;Myasthenia Gravis;""Intestinal polyposis, osteomas, sebaceous cysts"";""Renal Failure, Progressive, with Hypertension"";Rosacea;Hypocalcemia;Hearing Loss;Intervertebral Disc Displacement;Aphasia;""Diabetes Mellitus, Type 4"";"
C6orf48	"Psoriasis;""Genital Diseases, Male"";Corneal dystrophy and perceptive deafness;Uterine Prolapse;Bone Neoplasms;Rosacea;Tauopathy and Respiratory Failure;Mental Disorders;"
GRIA1	Asthma;Urinary Bladder Neoplasms;Hallux Rigidus;
CAMK2B	Spondylosis;Thrombocytopenia;Delirium;Chronic Disease;Polymyalgia Rheumatica;Otitis Media;
ATP2B2	Chronic Disease;Periapical Diseases;Periapical Abscess;Breast Diseases;Herpes Zoster;Renal Colic;
ATP2A2	"Tinnitus;Alcohol-Related Disorders;Alcoholism;Iatrogenic Disease;""Prader-Willi habitus, osteopenia, and camptodactyly"";""Pneumonia, Viral"";Thyroid cancer;Brain Neoplasms;"
TAL2	"Bile Duct Diseases;Overweight;Essential Tremor;""Keratosis, Actinic"";Spinal Stenosis;Cellulitis;Obesity;"
TNFRSF1A	"Hypernatremia;Heart Valve Diseases;Crohn Disease;Otosclerosis;Chronic Disease;Cellulitis;""Sleep Apnea, Central"";Hearing Loss;Aphakia;Bundle-Branch Block;"
TCL1A	"Retinal Drusen;Epilepsy;Mouth Neoplasms;Retinal Hemorrhage;""Corneal Dystrophy, Fuchs Endothelial, 3"";Eye Infections;Retinal Diseases;Memory Disorders;Glaucoma;"
ICOSLG	"Mental Disorders;Candidiasis;Eye Infections;Hypothyroidism;Carbuncle;""Insomnia, Fatal Familial"";Major Depressive Disorder;Nasal Polyps;Schizophrenia;""Corneal Dystrophy, Fuchs Endothelial, 3"";Periapical Diseases;Adjustment Disorders;Hemorrhagic Septicemia;Parkinson Disease;Mood Disorders;Corneal dystrophy and perceptive deafness;""Depression, Postpartum"";Bundle-Branch Block;Rosacea;Periapical Abscess;"
NUCKS1	Stomach Neoplasms;Exophthalmos;Otosclerosis;Colonic Neoplasms;Psoriasis;
MAL2	"Pharyngitis;Hearing Loss;Mouth Neoplasms;Tension-Type Headache;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
CABLES1	"Dysuria;Chronic Disease;Jaundice;Hemorrhagic Septicemia;Periodontitis;""Diabetes Mellitus, Type 7"";""Lower Extremity Deformities, Congenital"";Neutropenia;Glomerulonephritis;Parkinson Disease;Pharyngitis;Leukemia;"
C12orf28	"Contracture;Emphysema;""Diabetes Mellitus, Type 6"";"
ZFP64	"Aortic Aneurysm;Intervertebral Disc Displacement;""Abnormalities, Radiation-Induced"";Somatoform Disorders;Breast Diseases;Impetigo;"
NAT2	"Bronchitis;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Diaphragmatic Hernia;Sprains and Strains;Diplopia;"
LPL	"Dyspareunia;Acidosis;Thrombocytopenia;Herpes Zoster;Hypertrophy;""Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"";Uterine Prolapse;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";"
BAT2	"Diabetes Mellitus, Type 4;""Diabetes Mellitus, Type 6"";Skin Neoplasms;""Diabetes Mellitus, Type 2"";Celiac Disease;""Diabetes Mellitus, Type 3"";Diabetic Retinopathy;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Diabetes Mellitus, Type 5"";""Neoplasms, Connective Tissue"";Bacteremia;Essential Tremor;Hearing Loss;"
SIAE	"Bacterial Infections;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Bacteremia;Eosinophilia;Cellulitis;Water-Electrolyte Imbalance;Anxiety Disorders;Tachycardia;Hyperparathyroidism;Cerebrovascular Disorders;Colles' Fracture;Phosphorus Metabolism Disorders;Iron-Refractory Iron Deficiency Anemia;Retinal Drusen;Orbital Cellulitis;""Renal Failure, Progressive, with Hypertension"";"
UNC13C	"Anemia, Pernicious;Vitamin B 12 Deficiency;Iron-Refractory Iron Deficiency Anemia;Hematuria;Respiratory Insufficiency;Pancreatitis;Conduct Disorder;Bipolar Disorder;Tuberculosis;Sleep disorders;Brain Neoplasms;Chronic Disease;Urethritis;Retinal Hemorrhage;"
WLS	"Keratitis;""Reflex, Abnormal"";Respiratory System Abnormalities;Cavernous Malformations of CNS and Retina;Lipoma;Uterine Cervical Neoplasms;""Intestinal polyposis, osteomas, sebaceous cysts"";"
SCN10A	Dysmenorrhea;Thrombocytopenia;Atrial Flutter;Atrial Fibrillation;Purpura;Hyperventilation;Intervertebral disc disease;Ascites;
FOXO1	"Neck Pain;Intervertebral Disc Displacement;Vitamin D Deficiency;Pulmonary Heart Disease;Alcoholism;Chronic Disease;Spinal Cord Diseases;""Phobia, Specific"";"
CD247	"Hypothyroidism;""Goiter, Multinodular "";Intervertebral Disc Displacement;Astigmatism;Myopia;Optic Nerve Diseases;""Larynx, Congenital Partial Atresia of"";Goiter;Keratitis;Optic Neuritis;Pericarditis;Behcet Syndrome;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Nervous System Diseases;""Acne, Adult"";"
CRB1	Brain Concussion;Eye Neoplasms;Osteoarthritis;Chronic Disease;
KCNIP4	"Asthma;""Hypertension, Pregnancy-Induced"";""Pancreatic cancer, adult"";Personality Disorders;Pneumothorax;"
RAB4B	"Asthma;Cachexia;""Prader-Willi habitus, osteopenia, and camptodactyly"";"
CFH	"Macular Degeneration;Retinal Diseases;Retinal Drusen;Diabetes mellitus;""Diabetes Mellitus, Type 2"";""Diabetes Mellitus, Type 1"";Bundle-Branch Block;Endometrial Hyperplasia;Diabetic Retinopathy;Intervertebral disc disease;Sarcoidosis;""Diabetes Mellitus, Type 7"";""Diabetes Mellitus, Type 3"";Epilepsy;Osteomyelitis;""Diabetes Mellitus, Type 4"";Shock;Endometriosis;"
CD8B	"Abnormalities, Radiation-Induced;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Esophageal Motility Disorders;"
CMKLR1	Muscle Weakness;Chronic Disease;Bronchitis;Pharyngitis;Airway Obstruction;Iron-Refractory Iron Deficiency Anemia;
CYP2C9	"Upper Extremity Deep Vein Thrombosis;""Tachycardia, Sinoatrial Nodal Reentry"";Major Depressive Disorder;Barrett Esophagus;Sprains and Strains;""Keratosis, Actinic"";""Menopause, Premature"";Epistaxis;Abdominal pain;""Corneal Degeneration, Ribbonlike, with Deafness"";Proteinuria;Hypotension;Conduct Disorder;Astigmatism;""Diabetes Mellitus, Type 5"";Leg Length Inequality;Temporomandibular Joint Disorders;Conjunctival Diseases;Epilepsy;Thyroid cancer;Shock;Atrial flutter;Migraine Disorders;"
FAM47E	Neoplastic Processes;Scleritis;Ovarian Diseases;Osteomyelitis;
PLEKHA7	"Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries;Pharyngitis;Hypocalcemia;""Pneumonia, Pneumococcal"";"
FOXG1	"Tauopathy and Respiratory Failure;""Acne, Adult"";""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";Delirium;Mastodynia;"
LOC100289058	"Anemia, Pernicious;""Diabetes Mellitus, Type 5"";Bronchiectasis;"
FUT8	"Heart Valve Diseases;Idiopathic orthostatic hypotension;Peptic Ulcer;Chronic Disease;Hypotension;Iatrogenic Disease;Mastoiditis;Jaundice;Diplopia;Hematuria;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Hirsutism;Pityriasis;""Glaucoma, Primary Open Angle"";Rheumatic Fever;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;"
MEPE	"Torsion dystonia with onset in infancy;Sebaceous Gland Diseases;Paget Disease Of Bone 4;""Reflex, Abnormal"";Adenocarcinoma in Situ;Chronic Disease;Respiratory System Abnormalities;Sexual and Gender Disorders;Mycoses;""Pneumonia, Pneumococcal"";"
COG6	"Muscle Weakness;""Pneumonia, Viral"";Intracranial Hemorrhages;Uterine Cervical Neoplasms;Bundle-Branch Block;"
RPS6KB1	"Corneal Degeneration, Ribbonlike, with Deafness;Hyperthyroidism;Pericarditis;Basal Ganglia Cerebrovascular Disease;Intracranial Hemorrhages;Renal Colic;Purpura;Absent breasts and nipples;"
C6orf97	"Gynecomastia;""Diabetes Mellitus, Type 4"";Subarachnoid Hemorrhage;Stomach Neoplasms;Myasthenia Gravis;Urticaria;Hypertension;Basal Ganglia Cerebrovascular Disease;Prurigo;Diabetic Retinopathy;Esophageal Neoplasms;Urethral Stricture;""Pneumonia, Pneumococcal"";Hemiplegia;Intervertebral Disc Displacement;Hallux Rigidus;Atrial Fibrillation;Heart Failure;Ankylosis;Facial Nerve Diseases;""Diabetes Mellitus, Type 3"";Schizophrenia;Dislocations;Diabetes mellitus;Atrial Flutter;Pleurisy;Multiple Myeloma;Lip Diseases;""Cardiac Arrhythmia, Ankyrin-B-Related"";Tinnitus;""Diabetes Mellitus, Type 2"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Glaucoma 1, Open Angle, A"";Intervertebral disc disease;Chronic Disease;"
TRAF1	Bundle-Branch Block;Muscular Dystrophies;Esophageal Motility Disorders;Testicular Diseases;Tongue Diseases;Hallux Valgus;Basal Ganglia Cerebrovascular Disease;Chronic Disease;Hammer Toe Syndrome;
IRF4	"Keratosis, Actinic;Skin Neoplasms;Adenocarcinoma in Situ;Sunburn;Eye Neoplasms;""Keratosis, Seborrheic"";""Prader-Willi habitus, osteopenia, and camptodactyly"";Pneumoconiosis;Rosacea;Melanoma;Myoclonus;Sebaceous Gland Diseases;""Pulmonary Hypertension, Primary, Autosomal Recessive"";Chronic Disease;Urinary Bladder Neoplasms;Kidney Neoplasms;Heart Valve Diseases;Vitamin B Deficiency;Celiac Disease;Autonomic Nervous System Diseases;Brain Neoplasms;Delirium;""Intestinal polyposis, osteomas, sebaceous cysts"";Psoriasis;""Corneal Dystrophy, Fuchs Endothelial, 3"";"
MX2	"Thyrotoxicosis;""Prader-Willi habitus, osteopenia, and camptodactyly"";Failure to Thrive;Sacroiliitis;Bipolar Disorder;Lymphadenitis;Dysthymic Disorder;"
WDR12	Enteritis;Tricuspid Valve Insufficiency;Osteitis Deformans;Colonic Neoplasms;Psoriasis;Aortic Aneurysm;Granulosa cell tumor of the ovary;Bone Neoplasms;Alopecia;
BACH2	"Complex Regional Pain Syndromes;Syncope;Tuberculosis;Hemorrhagic Disorders;Hypothyroidism;Sleep Apnea Syndromes;Peptic Ulcer;Goiter;Thyrotoxicosis;Sebaceous Gland Diseases;""Lower Extremity Deformities, Congenital"";Cerebrospinal Fluid Otorrhea;Hemoptysis;"
NKAPL	"Cystic Kidney Disease;Chronic Disease;Hypoglycemia;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Atherosclerosis;Renal Osteodystrophy;""Insomnia, Fatal Familial"";Bronchitis;"
GPR35	Chronic Disease;Labyrinthitis;Bundle-Branch Block;Pruritus;Cerebrovascular Disorders;
ANKFN1	Conjunctival Diseases;Breast Neoplasms;Uterine Cervical Neoplasms;
FSTL4	"Asthma;""Diabetes Mellitus, Type 5"";Gastrointestinal Hemorrhage;Chronic Disease;Thrombocytopenia;"
AKAP6	Chronic Disease;Cardiac Conduction Defect;Testicular Hydrocele;Barrett Esophagus;
PEX5L	Urinary Bladder Neck Obstruction;Sensation Disorders;Behcet Syndrome;Subarachnoid Hemorrhage;Cavernous Malformations of CNS and Retina;Hypertensive Retinopathy;
PELI2	"Varicose Veins;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Osteoarthritis;Hallux Valgus;Autonomic Nervous System Diseases;"
GIPR	"Pruritus;Chondrocalcinosis;Paraproteinemias;Speech Disorders;Optic Nerve Diseases;Hypernatremia;Atherosclerosis;""Diabetes Mellitus, Type 3"";"
QKI	"Upper Extremity Deep Vein Thrombosis;Failure to Thrive;""Genital Neoplasms, Female"";Hypotension;Varicose Veins;""Pancreatic cancer, adult"";Hematuria;"
EGR2	"Uterine Neoplasms;Gangrene;Keratoconjunctivitis Sicca;""Deafness, Conductive, with Malformed External Ear"";""Cardiac Arrhythmia, Ankyrin-B-Related"";Endometriosis;Periostitis;"
CCDC64	"Duodenitis;Cervical Intraepithelial Neoplasia;Uterine Cervical Neoplasms;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Pancreatitis;Enteritis;Hyperparathyroidism;"
PDLIM5	Chronic Disease;Sunburn;Nail Diseases;Prostatitis;Mastoiditis;Neutropenia;Genu Varum;Varicose Veins;Hallux Rigidus;Hypothyroidism;Hyperventilation;
IMMP2L	"Iron-Refractory Iron Deficiency Anemia;Sexual and Gender Disorders;Chronic Disease;""Diabetes Mellitus, Type 2"";Lip Diseases;Granulosa cell tumor of the ovary;Absent breasts and nipples;"
MAPT	"Eye Infections;Sprains and Strains;Schizophrenia;Alcohol-Related Disorders;Dental Caries;Diabetic Retinopathy;Alcoholism;Psoriasis;Intracranial Hemorrhages;Hallux Rigidus;Chronic Disease;Duodenal Ulcer;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Optic Atrophy;Conduct Disorder;Ankylosis;Migraine Disorders;Upper Extremity Deep Vein Thrombosis;""Cardiomyopathy, Dilated"";Trigeminal Nerve Diseases;Leg Length Inequality;Hirsutism;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
POPDC3	"Osteoporosis;Aortic Aneurysm;Chronic Disease;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Adenocarcinoma in Situ;""Prader-Willi habitus, osteopenia, and camptodactyly"";""Diabetes Mellitus, Type 2"";"
ARHGAP31	"Prader-Willi habitus, osteopenia, and camptodactyly;Lymphadenitis;Osteoporosis;Peptic Ulcer;Neoplastic Processes;Chronic Disease;Feeding and Eating Disorders;Tuberculosis;"
PKN2	"Macular Degeneration;Retinal Diseases;Retinal Drusen;Corneal Opacity;Hematuria;Out-of-Hospital Cardiac Arrest;Ventricular Flutter;Mastoiditis;Alopecia Areata;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";"
NEK6	"Mental Disorders;""Deafness, Conductive, with Malformed External Ear"";Astigmatism;"
PPP2R5E	Prostatitis;Cholesteatoma;Nervous System Diseases;Brain Neoplasms;
PVT1	"Orbital Cellulitis;Neutropenia;Chronic Disease;""Rheumatoid Arthritis, Systemic Juvenile"";Osteomyelitis;""Prader-Willi habitus, osteopenia, and camptodactyly"";Hodgkin Disease;""Cardiac Arrhythmia, Ankyrin-B-Related"";Hematuria;Ascites;Myopia;""Corneal Dystrophy, Fuchs Endothelial, 3"";""Cardiomyopathy, Dilated"";Uterine Cervical Neoplasms;Amblyopia;Corneal dystrophy and perceptive deafness;Salivary Gland Diseases;""Conjunctivitis, Allergic"";Cardiomyopathies;Uterine Neoplasms;Irritable Bowel Syndrome;""Liver Diseases, Alcoholic"";""Prostate cancer, familial"";Tuberculosis;Warts;Optic Atrophy;"
CELSR2	"Hyperlipidemias;Hypercholesterolemia;Atherosclerosis;Hypocalcemia;Chronic Disease;""Renal Failure, Progressive, with Hypertension"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
UMOD	"Testicular Diseases;""Renal Failure, Progressive, with Hypertension"";""Rheumatoid Arthritis, Systemic Juvenile"";Chronic Disease;Restless Legs Syndrome;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Sleep disorders;Wandering Spleen;Stillbirth;"
KCNT2	"Back Pain;""Gastritis, Atrophic"";Pulmonary Embolism;Water-Electrolyte Imbalance;Prurigo;Meniere Disease;"
C13orf31	"Skin Neoplasms;Hypoglycemia;Bursitis;""Hypertension, Pregnancy-Induced"";Overweight;Stillbirth;"
PRKD2	"Atrophic Vaginitis;Polycythemia Vera;Glossitis;Epilepsy;Menstruation Disturbances;Familial Acute Myeloid Leukemia with Mutated Cebpa;""Pulmonary Hypertension, Primary, Autosomal Recessive"";Chronic Disease;Optic Nerve Diseases;"
PAX5	"Alzheimer Disease;Endocarditis;Lip Diseases;Herpes Simplex;""Goiter, Multinodular "";Delirium;Chronic Disease;Back Pain;Water-Electrolyte Imbalance;"
GRIK1	"Hyperparathyroidism, Secondary;Pneumothorax;Hyperthyroidism;Spondylosis;"
PTBP2	"Genu Varum;Insect Bites and Stings;Hyperlipidemias;Hypoventilation;""Anemia, Pernicious"";Respiratory Tract Neoplasms;"
DACH1	"Adrenal Gland Diseases;""Renal Failure, Progressive, with Hypertension"";""Aplastic anemia, idiopathic"";Hammer Toe Syndrome;Jaundice;Periapical Abscess;Giant Cell Arteritis;Hallucinations;Multiple Myeloma;Pancytopenia;"
CDCA7L	Neutropenia;Emphysema;Cerebrospinal Fluid Otorrhea;Chronic Disease;Amblyopia;
NKX2-3	"Crohn Disease;Inflammatory Bowel Disease;Retinal Detachment;Choroid Diseases;""Diabetes Mellitus, Type 4"";"
CKAP5	"Diabetes Mellitus, Type 3;Corneal dystrophy and perceptive deafness;""Reflex, Abnormal"";""Diabetes Mellitus, Type 1"";Glossitis;Lip Diseases;Kyphosis;"
ICAM4	"Presenile And Senile Dementia;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Atrial flutter;Alzheimer Disease;Adenocarcinoma in Situ;"
MERTK	"Diabetes Mellitus, Type 1;""Tooth Eruption, Ectopic"";Impetigo;Essential Tremor;Optic Nerve Diseases;Scoliosis;Duodenitis;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Optic Neuritis;"
PDE3A	"Sleep disorders;Hyperbilirubinemia;Hypovolemia;Multiple Myeloma;Chronic Disease;Leukemia;Thyroiditis;Erectile Dysfunction;Water-Electrolyte Imbalance;Acidosis;Alzheimer Disease;""Insomnia, Fatal Familial"";Chondrocalcinosis;Pruritus;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Mental Disorders;Failure to Thrive;Atherosclerosis;"
DNAJC6	"Sepsis;Hypotension;Hypernatremia;Hemorrhagic Septicemia;""Renal Failure, Progressive, with Hypertension"";Hypertensive Retinopathy;Chronic Disease;"
FREM2	"Dysthymic Disorder;Skin Neoplasms;Mood Disorders;""Depression, Postpartum"";Dysuria;"
SULF1	"Rheumatic Fever;Paraproteinemias;Out-of-Hospital Cardiac Arrest;""Amino Acid Transport Disorders, Inborn"";Pancytopenia;"
ZNF157	Cerebrospinal Fluid Otorrhea;Tauopathy and Respiratory Failure;Seborrhea-Like Dermatitis with Psoriasiform Elements;Uterine Prolapse;Colonic Neoplasms;Dysmenorrhea;
MN1	"Dermatitis, Seborrheic;Bacteremia;Chronic Disease;Osteomyelitis;Enteritis;Cellulitis;"
FLJ32955	Multiple Sclerosis;Heart Failure;Colonic Neoplasms;Torsion dystonia with onset in infancy;Hypercalcemia;Parkinson Disease;
SLC7A9	Insect Bites and Stings;Dupuytren Contracture;Bipolar Disorder;Water-Electrolyte Imbalance;Conduct Disorder;Brain Neoplasms;
ZNF101	Renal Osteodystrophy;Colles' Fracture;Upper Extremity Deep Vein Thrombosis;Myelodysplastic-Myeloproliferative Diseases;Hemorrhoids;
DGKQ	Blindness;Trigeminal Nerve Diseases;Scoliosis;Tricuspid Valve Insufficiency;Colles' Fracture;
